premise	hypothesis	label
Asian city scene of people in street with bright lights and glass buildings behind.	this asian city is full of tourists.	1
Asian city scene of people in street with bright lights and glass buildings behind.	city people hanging.	1
Asian city scene of people in street with bright lights and glass buildings behind.	city people row street	0
Asian city scene of people in street with bright lights and glass buildings behind.	a group of groups are included in a field	2
Asian city scene of people in street with bright lights and glass buildings behind.	there are people in an urban space.	0
Asian city scene of people in street with bright lights and glass buildings behind.	there are people in front of buildings that are brightly lit.	0
Asian city scene of people in street with bright lights and glass buildings behind.	wild streetwalkers	2
Asian city scene of people in street with bright lights and glass buildings behind.	there is a lot of people in town at night.	1
Asian city scene of people in street with bright lights and glass buildings behind.	some people are posing for a picture	1
Asian city scene of people in street with bright lights and glass buildings behind.	it is an industrial city.	2
A man is painting a portrait of an outside scene that includes a street sign with a bicycle chained to it.	a woman is drawing a microorganism.	2
A man is painting a portrait of an outside scene that includes a street sign with a bicycle chained to it.	a man is painting a landscape in an outdoors area.	0
A man is painting a portrait of an outside scene that includes a street sign with a bicycle chained to it.	a man is painting a mural of a teacher.	1
An older man stands on the sidewalk painting the view.	the old man would sell his painting.	1
An older man stands on the sidewalk painting the view.	the old man is painting a view of a bathroom.	2
An older man stands on the sidewalk painting the view.	the old thing is painting a portrait.	0
A crowded street, in an Asian country, where the buildings are dominated by the Seiko building.	the new street on new years day.	1
A crowded street, in an Asian country, where the buildings are dominated by the Seiko building.	the house is empty.	2
A crowded street, in an Asian country, where the buildings are dominated by the Seiko building.	the buildings are doors.	0
A crowded street, in an Asian country, where the buildings are dominated by the Seiko building.	it was the afternoon.	1
A crowded street, in an Asian country, where the buildings are dominated by the Seiko building.	nobody is on the street in asia.	2
A crowded street, in an Asian country, where the buildings are dominated by the Seiko building.	the semifinals are at an indoor swimming meet.	2
A crowded street, in an Asian country, where the buildings are dominated by the Seiko building.	the seiko maru is large.	0
A crowded street, in an Asian country, where the buildings are dominated by the Seiko building.	lot of people are in the street	0
A crowded street, in an Asian country, where the buildings are dominated by the Seiko building.	there was a storm. nobody arrived outside	2
A crowded street, in an Asian country, where the buildings are dominated by the Seiko building.	they... a crowded street.	0
A crowded street, in an Asian country, where the buildings are dominated by the Seiko building.	every crowded street in asia has tall buildings.	1
A crowded street, in an Asian country, where the buildings are dominated by the Seiko building.	a crowded street in which back there are lots of buildings.	1
A crowded street, in an Asian country, where the buildings are dominated by the Seiko building.	a crowded street in asia.	0
A crowded street, in an Asian country, where the buildings are dominated by the Seiko building.	no rush hour in a big city	1
A crowded street, in an Asian country, where the buildings are dominated by the Seiko building.	a crowded street in america.	2
A small boy has gotten into the cabinet and gotten flour and crisco all over himself.	the boy is trying to make cookies.	1
A small boy has gotten into the cabinet and gotten flour and crisco all over himself.	the boy is playing the violin.	2
A small boy has gotten into the cabinet and gotten flour and crisco all over himself.	the boy is making a face.	0
A male painting a scene in front of him.	a person is immortal.	0
A male painting a scene in front of him.	a person is painting the sky and trees ;	1
A male painting a scene in front of him.	a boy is painting a self portrait.	2
Busy Japanese intersection like maybe Tokyo.	there are no cars on the street.	2
Busy Japanese intersection like maybe Tokyo.	the traffic was moving slowly.	1
Busy Japanese intersection like maybe Tokyo.	there are lots of cars on the left.	0
Cars are passing through a town.	some car passing.	0
Cars are passing through a town.	cars are passing through the town in road race	1
Cars are passing through a town.	cars are parked in the town.	2
A picture of a city with a sign welcoming travelers on a busy street.	it is in france	1
A picture of a city with a sign welcoming travelers on a busy street.	a picture of a city is on a street	0
A picture of a city with a sign welcoming travelers on a busy street.	the people started dancing	2
Overlooking a street with a sign above shops that states Welcome To Golden.	"the shop sign says "" steal end golden """	0
Overlooking a street with a sign above shops that states Welcome To Golden.	the shop sign is clearly on the stamp.	2
Overlooking a street with a sign above shops that states Welcome To Golden.	"the "" welcome to golden "" sighes lit up."	1
There are cars driving down a street with a sign displaying Welcome to Golden.	the pickup was parked in a showroom.	2
There are cars driving down a street with a sign displaying Welcome to Golden.	all cars are green.	1
There are cars driving down a street with a sign displaying Welcome to Golden.	the cars stopped outside.	0
"A main street scene of a small town with an overhead welcome sign that says ""Welcome to Golden""."	"a nearby sign reads "" welcome to golden """	1
"A main street scene of a small town with an overhead welcome sign that says ""Welcome to Golden""."	"a neon sign reads "" now leaving golden """	2
"A main street scene of a small town with an overhead welcome sign that says ""Welcome to Golden""."	"a sign reads "" welcome to golden """	0
Little Girl in brown shirt and blue jean skirt dances on wood floor.	a girl is dancing in a brown shirt and blue jean shorts on a wooden floor with her.	1
Little Girl in brown shirt and blue jean skirt dances on wood floor.	a girl is sitting in a brown shirt and blue jean skirt on a wooden.	0
Little Girl in brown shirt and blue jean skirt dances on wood floor.	poop's on the floor. a girl dances	2
A young man is performing a jump on a skateboard while another young man photographs his stunt.	two boys are headboarding outside.	0
A young man is performing a jump on a skateboard while another young man photographs his stunt.	two others are local skateboarding photographs for a magazine.	1
A young man is performing a jump on a skateboard while another young man photographs his stunt.	two boys are riding bikes down the street.	2
A young girl dancing in her socks on a wooden floor strewn with pink balloons.	a girl just enjoying herself.	0
A young girl dancing in her socks on a wooden floor strewn with pink balloons.	de girlgues celebrating by dancing.	1
A young girl dancing in her socks on a wooden floor strewn with pink balloons.	the girl seems very sad about the helium balloons.	2
Child with pink strings on head dancing surrounded by confetti, balloons.	a third is roller skating.	2
Child with pink strings on head dancing surrounded by confetti, balloons.	a kid is dancing.	0
Child with pink strings on head dancing surrounded by confetti, balloons.	a child is dancing at a party.	1
"A good-looking firefighter sets up ""Do Not Cross"" tape in the city."	a firefighter is sleeping.	2
"A good-looking firefighter sets up ""Do Not Cross"" tape in the city."	the firefighter picks up a don't cross	0
"A good-looking firefighter sets up ""Do Not Cross"" tape in the city."	a firefighter sets up tape in anger ;	0
A fireman protects an area by setting up a boundary while others watch.	a fireman was working hard to keep people safe.	0
A fireman protects an area by setting up a boundary while others watch.	a fireman is trying to get away from the fire.	2
A fireman protects an area by setting up a boundary while others watch.	the fireman is trying to stop the wildfire.	1
The blond girl is dancing inside a house.	the girl is lying on a truck in a park.	2
The blond girl is dancing inside a house.	a person stayed indoors.	0
The blond girl is dancing inside a house.	the formula is twerky.	1
Two people standing in front of a large statue of a woman, other statues and busts visible in the background.	two people waiting in line for food at a crowded bar.	2
Two people standing in front of a large statue of a woman, other statues and busts visible in the background.	two people posing for pictures with an ancient statue outdoors.	1
Two people standing in front of a large statue of a woman, other statues and busts visible in the background.	two couples standing standing near a large statue, with other states nearby.	0
a man with a white covering is walking up a flight of stairs.	an old woman is falling down the stairs.	2
a man with a white covering is walking up a flight of stairs.	a man is climbing the stairs to his apartment after a long day at work.	1
a man with a white covering is walking up a flight of stairs.	another human walks up some stairs.	0
A family between a van and fence	a family. ayme.	0
A family between a van and fence	a family. a pickup truck.	2
A family between a van and fence	a family by a red van.	1
A woman talking to four little children outside.	a teacher is showing the students some items in the park.	1
A woman talking to four little children outside.	the female adult is near some kids.	0
A woman talking to four little children outside.	a teacher is reading a book in class.	2
A mother with her four children.	a woman posing for a picture of her children.	1
A mother with her four children.	a man with his pets.	2
A mother with her four children.	a woman with children.	0
A woman and a few children in an alleyway in between a vehicle and a fence.	the woman and children are in communist dining room.	2
A woman and a few children in an alleyway in between a vehicle and a fence.	the people are bound between the vehicle and fence.	1
A woman and a few children in an alleyway in between a vehicle and a fence.	several people in an alleyway.	0
A woman in a floral dress talks to children in front of a van.	a woman is born to children.	0
A woman in a floral dress talks to children in front of a van.	a lady in a dress is taking kids to a museum.	1
A woman in a floral dress talks to children in front of a van.	a woman is screaming at her kid.	2
Two men with heads down signing a paper.	the men are signing their names.	1
Two men with heads down signing a paper.	the men ran off a bridge.	2
Two men with heads down signing a paper.	the two men said something.	0
A man and a woman having an intimate conversation in front a statue.	a couple are having a conversation	0
A man and a woman having an intimate conversation in front a statue.	a couple are having dinner in a restaurant.	2
A man and a woman having an intimate conversation in front a statue.	a couple are discussing vacation.	1
A man in a Tour De Force shirt is working on a bicycle.	a woman on crying.	2
A man in a Tour De Force shirt is working on a bicycle.	a man is working on his favorite bike.	1
A man in a Tour De Force shirt is working on a bicycle.	a woman is working on a bike.	0
A young toddler wearing pink sandals is walking on hopscotch numbers.	a young girl wears sandals and focuses on hopscotch numbers.	1
A young toddler wearing pink sandals is walking on hopscotch numbers.	a grown man wearing cowboy sandals plays hopscotch.	2
A young toddler wearing pink sandals is walking on hopscotch numbers.	a weapon gun on the ground.	0
a man wearing blue plays soccer.	currently playing soccer	0
a man wearing blue plays soccer.	man award in soccer competition	1
a man wearing blue plays soccer.	man playing ;	2
Mothers with children talking at a gathering.	the parents are looking at the children.	2
Mothers with children talking at a gathering.	they are talking about thieving kids.	1
Mothers with children talking at a gathering.	pull mothers are having conversations.	0
Two women are talking while children are sitting on their laps.	a man is painting a house.	2
Two women are talking while children are sitting on their laps.	some women are babysitting.	1
Two women are talking while children are sitting on their laps.	some women are talking.	0
Two women, each embracing a little girl, catch up at a small family gathering.	2 women are carrying little children.	0
Two women, each embracing a little girl, catch up at a small family gathering.	the women were showing their daughters an animal.	1
Two women, each embracing a little girl, catch up at a small family gathering.	the women were with children behind.	2
Two women holding children talking to one another.	the women are having a playdate with their toddlers.	1
Two women holding children talking to one another.	two women are running at the park looking for their children.	2
Two women holding children talking to one another.	there are at least seven people.	0
Two women, each with a child, look at each other.	the women have no kids	2
Two women, each with a child, look at each other.	women are with graham kids	0
Two women, each with a child, look at each other.	the kids are.	1
A black-and-white dog carries a stick in his mouth as he swims in the clear water.	the water was empty	2
A black-and-white dog carries a stick in his mouth as he swims in the clear water.	a nurse is outside	0
A black-and-white dog carries a stick in his mouth as he swims in the clear water.	the dog was having a great time	1
A black and white dog with a stick in its mouth is swimming.	a dog with an object in it's mouth is in the water.	0
A black and white dog with a stick in its mouth is swimming.	a dalmatian fish swimming stick in its mouth is swimming slowly.	1
A black and white dog with a stick in its mouth is swimming.	a cat with a pipe in its mouth is in a bathtub.	2
A pirate is chasing a princess down the sidewalk.	pirate chasing a peach cogslayer	1
A pirate is chasing a princess down the sidewalk.	pirate doing the ho - pokey	2
A pirate is chasing a princess down the sidewalk.	pirate on the sidewalk	0
A dog is fetching a stick out of very clear water.	a dog is fetching a stick out of very clear water.	0
A dog is fetching a stick out of very clear water.	a nurse is fetching a stick out of very clear water in the back yard.	1
A dog is fetching a stick out of very clear water.	a dog was sleeping on the front porch.	2
A dog in the water carries a stick in his mouth.	a dog was going for a walk in the park.	2
A dog in the water carries a stick in his mouth.	a dog fetches a stick out of the lake.	1
A dog in the water carries a stick in his mouth.	a dog carries a condom in his mouth.	0
Two children are running down a sidewalk dressed in costumes.	kids are going to a dance school.	1
Two children are running down a sidewalk dressed in costumes.	kids were getting in a fight.	2
Two children are running down a sidewalk dressed in costumes.	two kids were running.	0
1 little boy wearing a pirate costume following closely behind a little girl wearing a blue dress carrying a orange pumpkin bucket and walking down the sidewalk.	a boy and girl trick or treating?	1
1 little boy wearing a pirate costume following closely behind a little girl wearing a blue dress carrying a orange pumpkin bucket and walking down the sidewalk.	boy in costume followed by a girl in costume.	0
1 little boy wearing a pirate costume following closely behind a little girl wearing a blue dress carrying a orange pumpkin bucket and walking down the sidewalk.	a boy in a clown uniform followed by a girl.	2
A little boy in a pirate costume is running behind a little girl in a princess costume carrying an orange pumpkin along the sidewalk.	the kids are sitting in their desks during class.	2
A little boy in a pirate costume is running behind a little girl in a princess costume carrying an orange pumpkin along the sidewalk.	more kids wearing costumes are outside.	0
A little boy in a pirate costume is running behind a little girl in a princess costume carrying an orange pumpkin along the sidewalk.	the arms are trick - or - treating for others.	1
A man with a gray shirt holds a young infant in his hands.	the man is holding his breath.	1
A man with a gray shirt holds a young infant in his hands.	a man dressed in a shirt.	0
A man with a gray shirt holds a young infant in his hands.	the man has a yellow information.	2
Two girls, each in a dress walking together.	two girls are doing exercise to live healthy.	1
Two girls, each in a dress walking together.	two girls slapped each other.	2
Two girls, each in a dress walking together.	two girls were doing exercise.	0
A group of people are sitting around a table under a blue sunshade.	people having.	1
A group of people are sitting around a table under a blue sunshade.	girl plays.	2
A group of people are sitting around a table under a blue sunshade.	everyone sit around table	0
People in line for plates of rice.	people are waiting to eat ;	0
People in line for plates of rice.	standing in line at a soup kitchen.	1
People in line for plates of rice.	people are sitting and eating.	2
People sitting down to eat.	his wedding party guests settled down to enjoy the feast.	1
People sitting down to eat.	people are watching to eat.	0
People sitting down to eat.	people milling about after the concert.	2
Several men sit outside on brick ledges built around tall trees.	some men are sitting nearby.	0
Several men sit outside on brick ledges built around tall trees.	the men just kept kept working.	1
Several men sit outside on brick ledges built around tall trees.	the men are chopping up the trees.	2
Workers are eating a meal while one man sits on a pile of plywood.	workers are outside at the construction zone ;	1
Workers are eating a meal while one man sits on a pile of plywood.	workers are resting during a meal break.	0
Workers are eating a meal while one man sits on a pile of plywood.	workers are talking and sitting on the floor.	2
Workers are taking a break during midday.	things are diligently building a house.	2
Workers are taking a break during midday.	workers began eating sandwiches on break.	1
Workers are taking a break during midday.	workers are on break.	0
Workers are sitting next to a work zone eating food.	the riders are sitting eating food	2
Workers are sitting next to a work zone eating food.	the workers are writers the work	1
Workers are sitting next to a work zone eating food.	the workers are ready for next work	0
Biker riding dirt bike on dirt track	he winning the race.	1
Biker riding dirt bike on dirt track	he is pad racing a canoe.	2
Biker riding dirt bike on dirt track	human : two wheeled vehicle.	0
A motorcycle racer is in action at the track.	the racer is driving.	0
A motorcycle racer is in action at the track.	the motorcycle club is running	2
A motorcycle racer is in action at the track.	the crew is not a suit.	1
A blond woman with her hair up is taking off a white sweatshirt.	a woman is taking off her blue dress.	2
A blond woman with her hair up is taking off a white sweatshirt.	a woman is getting undressed!	1
A blond woman with her hair up is taking off a white sweatshirt.	a man is blonde	0
A person is a red hat and winter jacket is looking into the distance.	a farmer stares to see if he can see his cattle grazing.	1
A person is a red hat and winter jacket is looking into the distance.	the person stares off into the distance.	0
A person is a red hat and winter jacket is looking into the distance.	a leading sends a telegram.	2
A man riding a dirt bike	the man called in a car.	2
A man riding a dirt bike	a cop boy riding a dirtbike with his friend ;	1
A man riding a dirt bike	the man is accelerating to the predominant bike.	1
A man riding a dirt bike	mander weekend at park	1
A man riding a dirt bike	the man is dead.	2
A man riding a dirt bike	a man is gone.	2
A man riding a dirt bike	a man is riding his dirt bike on a course.	1
A man riding a dirt bike	a man is in a car.	2
A man riding a dirt bike	a boy is riding the vehicle.	0
A man riding a dirt bike	the man is outside.	0
A man riding a dirt bike	woman, bike	2
A man riding a dirt bike	the man is revealed the dirt bike.	1
A man riding a dirt bike	man aligned bike	0
A man riding a dirt bike	a man riding on a dirt bike.	0
A man riding a dirt bike	the guy is driving a muscle bike.	0
A man is sitting with his head facing down, while other people are looking in his direction.	the man is causing a scene.	1
A man is sitting with his head facing down, while other people are looking in his direction.	the picture is being stared at.	0
A man is sitting with his head facing down, while other people are looking in his direction.	the man is staring me down.	2
Small blond-haired girl drinking a glass of juice.	the kid is sitting on a swing.	1
Small blond-haired girl drinking a glass of juice.	the girl in the juice has brown hair.	2
Small blond-haired girl drinking a glass of juice.	a nurse is holding a glass.	0
A person in a red coat and a running black and brown dog.	a person in in red dress is running behind a large animal.	0
A person in a red coat and a running black and brown dog.	a person in a red dress is trying to catch a dog.	1
A person in a red coat and a running black and brown dog.	a person in a red dress is cooking.	2
a woman in a red jacket watches as a black and brown dog runs away from her in woodland clearing.	a woman dressed in a red jacket	0
a woman in a red jacket watches as a black and brown dog runs away from her in woodland clearing.	a woman is wearing a skirt jacket	2
a woman in a red jacket watches as a black and brown dog runs away from her in woodland clearing.	a squirrel has finished chasing a dog	1
Outside by the trees, a woman wearing jeans and red jacket throws something for a German shepherd to chase.	the woman throws something for the dog.	0
Outside by the trees, a woman wearing jeans and red jacket throws something for a German shepherd to chase.	a person throwing something for her dog.	0
Outside by the trees, a woman wearing jeans and red jacket throws something for a German shepherd to chase.	a dog throws something at its woman.	2
Outside by the trees, a woman wearing jeans and red jacket throws something for a German shepherd to chase.	a woman throwing a squeaky toy into the water for a dog to catch.	1
Outside by the trees, a woman wearing jeans and red jacket throws something for a German shepherd to chase.	a woman throws a ball for a german sheherd to.	1
Outside by the trees, a woman wearing jeans and red jacket throws something for a German shepherd to chase.	a woman plays fetch with her squires ;	1
Outside by the trees, a woman wearing jeans and red jacket throws something for a German shepherd to chase.	a knight climbing a tree.	2
Outside by the trees, a woman wearing jeans and red jacket throws something for a German shepherd to chase.	a person and their pet are outdoors	0
Outside by the trees, a woman wearing jeans and red jacket throws something for a German shepherd to chase.	a young lady is teaching her pet dog how to play with.	1
Outside by the trees, a woman wearing jeans and red jacket throws something for a German shepherd to chase.	a man in a dog costume, staring creepily through a restaurant window.	2
Outside by the trees, a woman wearing jeans and red jacket throws something for a German shepherd to chase.	a soldier and an animal are interacting outdoors.	0
Outside by the trees, a woman wearing jeans and red jacket throws something for a German shepherd to chase.	a woman and a german woman are pictured	0
Outside by the trees, a woman wearing jeans and red jacket throws something for a German shepherd to chase.	a death sits in a movie theater	2
Outside by the trees, a woman wearing jeans and red jacket throws something for a German shepherd to chase.	the woman throws something for her dog.	1
Outside by the trees, a woman wearing jeans and red jacket throws something for a German shepherd to chase.	a woman plays with her cat in a grassy field	2
A dog is preparing to run away from a person interacting with it.	a dog is nearby a person	0
A dog is preparing to run away from a person interacting with it.	a cat is warp with some string	2
A dog is preparing to run away from a person interacting with it.	a dog cowers in the corner as the veterenarian returns with a thermometer	1
A woman in a black and orange jacket throws a stick for a brown and black dog to fetch.	a woman actively training her dog in the park.	1
A woman in a black and orange jacket throws a stick for a brown and black dog to fetch.	a woman is interacting with a dog ;	0
A woman in a black and orange jacket throws a stick for a brown and black dog to fetch.	a woman is brushing her dog.	2
Two men trying to build something together, while having fun.	two men are partying together.	1
Two men trying to build something together, while having fun.	the men are laughing and enjoying themselves.	0
Two men trying to build something together, while having fun.	two boys are sleeping on the floor.	2
Three people are sitting on a bench.	a few people are laying down.	2
Three people are sitting on a bench.	some people are scared.	1
Three people are sitting on a bench.	there are people sitting down.	0
Two women and one man sit on a bench.	the women and the man sat on a bench.	0
Two women and one man sit on a bench.	the bench is not really there.	2
Two women and one man sit on a bench.	the elements are on the top.	1
A man and two women sitting on a bench.	a few people share this bench.	0
A man and two women sitting on a bench.	two women sit on a bench.	2
A man and two women sitting on a bench.	a man and his two sisters, together.	1
A man and two women in black jackets holding umbrellas sit on a long wooden bench.	people are on a.	0
A man and two women in black jackets holding umbrellas sit on a long wooden bench.	a man is talking about a threesome with two women.	1
A man and two women in black jackets holding umbrellas sit on a long wooden bench.	a regiment woman sitting on a bench with 22 women.	2
man in red canada shirt standing with three men in army uniform	man - pizza	2
man in red canada shirt standing with three men in army uniform	man traveling with three men in army.	0
man in red canada shirt standing with three men in army uniform	man standing with several men in army uniform near school	-1
Skydivers in formation.	we are all friends.	1
Skydivers in formation.	they are irregular the ground	2
Skydivers in formation.	people were skydiving.	0
A woman checks her purse while at a outside cafe.	a man checks his back pocket for his wallet	2
A woman checks her purse while at a outside cafe.	a waitress looks for her money to pay the waiter.	1
A woman checks her purse while at a outside cafe.	the person looks in her purse at a restaurant.	0
The cowboy waves to the rodeo crowd.	the clown was waving to the crowd.	2
The cowboy waves to the rodeo crowd.	the cowboy waved to the crowd while he was riding the horses.	1
The cowboy waves to the rodeo crowd.	the cowboy waved to the crowd.	0
A woman is sitting at an outdoor dining table.	$ person is indoors.	2
A woman is sitting at an outdoor dining table.	a person is sitting down.	0
A woman is sitting at an outdoor dining table.	a woman is at an italian restaurant waiting for their guest.	1
Lady wearing a yellow top is sitting on a chair	a lady wearing a yellow top is standing on the kitchen threshold.	2
Lady wearing a yellow top is sitting on a chair	a woman with a yellow to sits.	0
Lady wearing a yellow top is sitting on a chair	a lady wearing a yellow top is sitting on a chair and shaving her legs.	1
a child is pushing another kid in a wheeler dressed in a red top and wearing a cap.	the kids are pretending they are vega a race.	1
a child is pushing another kid in a wheeler dressed in a red top and wearing a cap.	the children kept eating lunch.	2
a child is pushing another kid in a wheeler dressed in a red top and wearing a cap.	seahawks enjoy playing bubba.	0
A cowboy is riding a bucking bull in a rodeo arena.	a man on a horse on the trail.	2
A cowboy is riding a bucking bull in a rodeo arena.	the brother rides a bull at a rodeo.	0
A cowboy is riding a bucking bull in a rodeo arena.	a white bull rider rides a large black bull.	1
A blond child is pulling a wagon with a little blond boy in it.	a child is riding a toy wagon.	0
A blond child is pulling a wagon with a little blond boy in it.	the child is pulling a toy wagon filled with toys.	1
A blond child is pulling a wagon with a little blond boy in it.	a ) is swimming.	2
A man wearing a tan coat signs papers for another man wearing a blue coat.	one woman writes on papers, while another man stands upright.	0
A man wearing a tan coat signs papers for another man wearing a blue coat.	a guy signs away his rights to his gold mine, while his lawyer waits by.	1
A man wearing a tan coat signs papers for another man wearing a blue coat.	a male lifeguard busily saves someone's life from his companion and scratches his head.	2
A groom and a bride are standing on the grass with his hand on her waist.	they are prepared to have their first kiss with husband and wife.	1
A groom and a bride are standing on the grass with his hand on her waist.	the groom and bride are sitting at the table.	2
A groom and a bride are standing on the grass with his hand on her waist.	only groom and bride are standing outside.	0
A man is singing into a microphone.	a man is reciting poetry.	2
A man is singing into a microphone.	someone is playing music.	0
A man is singing into a microphone.	a man is performing on stage.	1
a girl wearing a blue and pink swimsuit is throwing stones into a lake.	one boy drinks coke.	2
a girl wearing a blue and pink swimsuit is throwing stones into a lake.	girl likes to skip rocks	1
a girl wearing a blue and pink swimsuit is throwing stones into a lake.	girl throws.	0
A man and a woman being intimate, with their legs in the water.	2 dudes are in the pool	2
A man and a woman being intimate, with their legs in the water.	both man and woman are getting intimate	0
A man and a woman being intimate, with their legs in the water.	a husband and wife are playing footwork in the tub	1
A group of people stand on a grassy field.	people were standing on a grassy field	0
A group of people stand on a grassy field.	a group of people are sitting in the bleachers	2
A group of people stand on a grassy field.	people are enjoying the outdoor.	1
Men in uniform work together.	uniformed men patrol.	0
Men in uniform work together.	men in beach clothes work mini artists at the park.	2
Men in uniform work together.	uniformed men stood together outside.	1
An elderly woman places carrots into a casserole.	an elderly woman puts beets into a casserole	2
An elderly woman places carrots into a casserole.	an elderly woman puts carrots in a casserole	0
An elderly woman places carrots into a casserole.	an elderly woman slices fes to a casserole	1
A man in a gray vehicle feeding sheep.	the man is young.	0
A man in a gray vehicle feeding sheep.	the man is riding a horse.	2
A man in a gray vehicle feeding sheep.	lochart is a sheperd in scotland.	1
Three men are grouped around the back of a car with its tailgate out, two of the men clothed in yellow uniforms and one in blue.	three men are grouped around the hood of a car.	0
Three men are grouped around the back of a car with its tailgate out, two of the men clothed in yellow uniforms and one in blue.	two men are grouped around the back of a car mini.	1
Three men are grouped around the back of a car with its tailgate out, two of the men clothed in yellow uniforms and one in blue.	three men were swimming in a lake.	2
Three men, two wearing yellow suits, are looking in the back of a car.	two weathermen at work.	1
Three men, two wearing yellow suits, are looking in the back of a car.	three men looking at a car.	0
Three men, two wearing yellow suits, are looking in the back of a car.	three men breaking into a car.	2
Emergency personnel looking into the back of a car.	emergency personnel are responsible for a person in a car.	1
Emergency personnel looking into the back of a car.	just was looking in a car.	0
Emergency personnel looking into the back of a car.	military personnel are eating.	2
Some firefighters check a vehicle.	marking are checking a car.	0
Some firefighters check a vehicle.	firefighters are walking a yard from the tree.	2
Some firefighters check a vehicle.	firefighters are looking for a cat in the water.	1
A man in a kitchen is frying breaded food in a cast iron pan.	the food is excellent.	1
A man in a kitchen is frying breaded food in a cast iron pan.	got some oceanfront property in arizona.	2
A man in a kitchen is frying breaded food in a cast iron pan.	a man yells.	0
A woman in colorful garb with her back to the camera and cloth on her hear.	a woman is wearing colorful garb.	1
A woman in colorful garb with her back to the camera and cloth on her hear.	a woman had her back to the camera.	0
A woman in colorful garb with her back to the camera and cloth on her hear.	a priest is praying.	2
A woman in colorful native attire featuring a blue shirt with a colorful design displays her dark hair braided with red ribbons.	a woman is dressed stylishly in native garb.	0
A woman in colorful native attire featuring a blue shirt with a colorful design displays her dark hair braided with red ribbons.	a woman is dressed in her native clothing in preparation for her wedding.	1
A woman in colorful native attire featuring a blue shirt with a colorful design displays her dark hair braided with red ribbons.	a woman is dressed to run away.	2
Oddly dressed man walking down the street.	an oddly dressed man murmured.	0
Oddly dressed man walking down the street.	a womanə a walk.	2
Oddly dressed man walking down the street.	a man enjoying a walk.	1
A man in ruffles pushes a stroller through a park.	the operator has his baby in a stroller.	1
A man in ruffles pushes a stroller through a park.	the man is pushing the stroller through his house.	2
A man in ruffles pushes a stroller through a park.	the man was pushing a stroller.	0
An oddly dressed man pushing a stroller down a sidewalk in a park.	the man is walking toward his son.	1
An oddly dressed man pushing a stroller down a sidewalk in a park.	the man is walking his bicycle on the beach.	2
An oddly dressed man pushing a stroller down a sidewalk in a park.	a man wearing weird makeup was walking through a park.	0
A smiling man cooks something delicious.	the man is preparing sp cakes for his wife	1
A smiling man cooks something delicious.	the man is.	0
A smiling man cooks something delicious.	the child colors with crayo.	2
a young man wearing a backpack and sunglasses is walking towards a shopping area.	a man walks into a store	0
a young man wearing a backpack and sunglasses is walking towards a shopping area.	two ducks quacking at each.	2
a young man wearing a backpack and sunglasses is walking towards a shopping area.	maden is planning to rob the store	1
A young man wearing a backpack and dark glasses approaches the brick building where there is a bit of graffiti on the wall.	the young man has glasses on his face.	0
A young man wearing a backpack and dark glasses approaches the brick building where there is a bit of graffiti on the wall.	majesty is not on the wall but bricks.	2
A young man wearing a backpack and dark glasses approaches the brick building where there is a bit of graffiti on the wall.	the man helped restore the graffiti.	1
A brown dog running with two white and brown dogs on the seashore with crashing waves behind them.	the catfish are running to the shore to meet their master who just beached his kayak	1
A brown dog running with two white and brown dogs on the seashore with crashing waves behind them.	the guests were indorrs waiting for their dinner	2
A brown dog running with two white and brown dogs on the seashore with crashing waves behind them.	the dogs were outdoors running along the shore	0
A young man in blue sunglasses walking in front of a red brick building.	a guy with red glasses was sitting here.	2
A young man in blue sunglasses walking in front of a red brick building.	man in blue is walking pass a building	0
A young man in blue sunglasses walking in front of a red brick building.	the guys with glasses are going pass the buildings	1
A dog jumps to catch a toy in the snow.	a dog jumps to catch a toy in waikiki.	2
A dog jumps to catch a toy in the snow.	a dog tried to catch a ball in the snow.	1
A dog jumps to catch a toy in the snow.	an animal is seated in a place that is not hot.	0
Black dog jumping into the air to catch a toy in the snow.	the dog is in the snow.	0
Black dog jumping into the air to catch a toy in the snow.	the seventh is playing dead.	2
Black dog jumping into the air to catch a toy in the snow.	hises is jumping to catch a frisbee.	1
A black dog in snow is jumping off the ground to catch a stick.	a dog is about to catch a bone in his mouth.	1
A black dog in snow is jumping off the ground to catch a stick.	a dog is catching a stick.	0
A black dog in snow is jumping off the ground to catch a stick.	a boy is playing fetch.	2
A person is hanging up pictures of women with a few onlookers watching surrounded by bikes.	you are paying attention to the person in pictures	0
A person is hanging up pictures of women with a few onlookers watching surrounded by bikes.	the locals are pretty	1
A person is hanging up pictures of women with a few onlookers watching surrounded by bikes.	there are people watching another person hang these pictures.	0
A person is hanging up pictures of women with a few onlookers watching surrounded by bikes.	the species are in the ocean	2
A person is hanging up pictures of women with a few onlookers watching surrounded by bikes.	a man is hanging paintings of women for an art show in a warehouse.	1
A person is hanging up pictures of women with a few onlookers watching surrounded by bikes.	the person is hanging up.	0
A person is hanging up pictures of women with a few onlookers watching surrounded by bikes.	the person is not woman.	1
A person is hanging up pictures of women with a few onlookers watching surrounded by bikes.	no one is hanging out around at all.	2
A person is hanging up pictures of women with a few onlookers watching surrounded by bikes.	i is hanging up pictures while people watch.	0
A person is hanging up pictures of women with a few onlookers watching surrounded by bikes.	there's one person drawing a crowd by hanging up nude photos of ladies.	1
